Sentence #,Word,POS
1,30,CD
1,mou01,NN
1,41457,CD
1,42551,CD
1,article,NN
1,6,CD
1,compensation,NN
1,article,NN
1,6.1,CD
1,salaries,NN
1,prior,JJ
1,to,TO
1,april,NN
1,2014,CD
1,salary,NN
1,range,NN
1,for,IN
1,employee,NN
1,consist,NN
1,of,IN
1,five,CD
1,step,NN
1,each,DT
1,separated,VB
1,by,IN
1,approximately,RB
1,five,CD
1,and,CC
1,one-half,CD
1,percent,NN
1,5.5,CD
1,%,%
1,illustrated,VB
1,in,IN
1,range,NN
1,table,NN
1,of,IN
1,this,DT
1,mou,NN
2,effective,JJ
2,april,NN
2,2014,CD
2,salary,NN
2,range,NN
2,shall,MD
2,consist,VB
2,of,IN
2,fifteen,CD
2,step,NN
2,each,DT
2,separated,VB
2,by,IN
2,approximately,RB
2,two,CD
2,and,CC
2,three-quarter,CD
2,percent,NN
2,2.75,CD
2,%,%
2,illustrated,VB
2,in,IN
2,range,NN
2,table,NN
2,of,IN
2,this,DT
2,mou,NN
3,the,DT
3,following,JJ
3,salary,NN
3,step,NN
3,movement,NN
3,will,MD
3,apply,VB
3,during,IN
3,the,DT
3,term,NN
3,of,IN
3,this,DT
3,mou,NN
4,employees,NN
4,who,WP
4,are,VB
4,not,RB
4,on,IN
4,the,DT
4,top,JJ
4,step,NN
4,of,IN
4,salary,NN
4,range,NN
4,of,IN
4,april,NN
4,2014,CD
4,one,CD
4,step,NN
4,advancement,NN
4,on,IN
4,april,NN
4,20,CD
4,2014,CD
4,beginning,NN
4,of,IN
4,pay,NN
4,period,NN
4,22,CD
4,in,IN
4,fy2013-14,NN
4,one,CD
4,step,NN
4,advancement,NN
4,on,IN
4,july,NN
4,13,CD
4,2014,CD
4,beginning,NN
4,of,IN
4,pay,NN
4,period,NN
4,in,IN
4,fy2014-15,NN
4,one,CD
4,step,NN
4,advancement,NN
4,on,IN
4,july,NN
4,12,CD
4,2015,CD
4,beginning,NN
4,of,IN
4,pay,NN
4,period,NN
4,in,IN
4,fy2015-16,NN
4,employees,NN
4,who,WP
4,are,VB
4,on,IN
4,the,DT
4,top,JJ
4,step,NN
4,of,IN
4,salary,NN
4,range,NN
4,of,IN
4,june,NN
4,28,CD
4,2014,CD
4,one,CD
4,step,NN
4,advancement,NN
4,on,IN
4,july,NN
4,13,CD
4,2014,CD
4,beginning,NN
4,of,IN
4,pay,NN
4,period,NN
4,in,IN
4,fy2014-15,NN
4,one,CD
4,step,NN
4,advancement,NN
4,on,IN
4,january,NN
4,11,CD
4,2015,CD
4,beginning,NN
4,of,IN
4,pay,NN
4,period,NN
4,15,CD
4,in,IN
4,fy2014-15,NN
4,one,CD
4,step,NN
4,advancement,NN
4,on,IN
4,july,NN
4,12,CD
4,2015,CD
4,beginning,NN
4,of,IN
4,pay,NN
4,period,NN
4,in,IN
4,fy2015-16,NN
4,classifications,NN
4,for,IN
4,which,WDT
4,compensation,NN
4,is,VB
4,set,VB
4,at,IN
4,fixed,JJ
4,amount,NN
4,flat,JJ
4,rated,VB
4,shall,MD
4,receive,VB
4,equivalent,JJ
4,salary,NN
4,adjustment,NN
4,at,IN
4,the,DT
4,time,NN
4,specified,VB
4,above,IN
4,for,IN
4,employee,NN
4,on,IN
4,the,DT
4,top,JJ
4,step,NN
4,of,IN
4,salary,NN
4,range,NN
4,of,IN
4,june,NN
4,29,CD
4,2014,CD
4,unless,IN
4,negotiated,VB
4,otherwise,RB
4,or,CC
4,in,IN
4,accordance,NN
4,with,IN
4,provision,NN
4,of,IN
4,the,DT
4,laac,NN
5,anniversary,JJ
5,date,NN
5,for,IN
5,all,DT
5,bargaining,JJ
5,unit,NN
5,member,NN
5,shall,MD
5,be,VB
5,frozen,VB
5,on,IN
5,april,NN
5,2014,CD
5,and,CC
5,shall,MD
5,be,VB
5,unfrozen,JJ
5,on,IN
5,july,NN
5,13,CD
5,2015,CD
6,article,NN
6,6.2,CD
6,overtime,JJ
6,section,NN
6,distribution,NN
6,of,IN
6,overtime,JJ
6,management,NN
6,will,MD
6,attempt,VB
6,to,TO
6,assign,VB
6,overtime,JJ
6,work,NN
6,equitably,RB
6,possible,JJ
6,among,IN
6,all,DT
6,qualified,VB
6,employee,NN
6,in,IN
6,the,DT
6,same,JJ
6,classification,NN
6,in,IN
6,the,DT
6,same,JJ
6,organizational,JJ
6,unit,NN
6,and,CC
6,work,NN
6,location,NN
7,however,RB
7,management,NN
7,may,MD
7,consider,VB
7,special,JJ
7,skill,NN
7,required,VB
7,to,TO
7,perform,VB
7,particular,JJ
7,work,NN
8,no,DT
8,employee,NN
8,shall,MD
8,work,VB
8,overtime,JJ
8,without,IN
8,prior,JJ
8,approval,NN
8,from,IN
8,his,PRP$
8,or,CC
8,her,PRP$
8,supervisor,NN
9,flsa,NN
9,non-exempt,JJ
9,employee,NN
9,may,MD
9,not,RB
9,work,VB
9,outside,IN
9,of,IN
9,scheduled,JJ
9,working,VB
9,31,CD
9,mou01,NN
9,41457,CD
9,42551,CD
9,hour,NN
9,or,CC
9,during,IN
9,unpaid,JJ
9,meal,JJ
9,period,NN
9,without,IN
9,the,DT
9,prior,JJ
9,approval,NN
9,of,IN
9,supervisor,NN
9,consistent,JJ
9,with,IN
9,department,NN
9,policy,NN
10,failure,NN
10,to,TO
10,secure,VB
10,prior,JJ
10,approval,NN
10,may,MD
10,result,VB
10,in,IN
10,discipline,NN
11,working,VB
11,and,CC
11,not,RB
11,recording,VB
11,the,DT
11,time,NN
11,is,VB
11,similarly,RB
11,prohibited,VB
12,section,NN
12,ii,NN
12,non-emergency,NN
12,overtime,NN
12,whenever,WRB
12,management,NN
12,deems,VB
12,it,PRP
12,necessary,JJ
12,to,TO
12,perform,VB
12,non-emergency,NN
12,work,NN
12,on,IN
12,an,DT
12,overtime,JJ
12,basis,NN
12,employee,NN
12,required,VB
12,to,TO
12,work,VB
12,will,MD
12,be,VB
12,given,VB
12,at,IN
1369,leave,VB
12,48,CD
12,hour,NN
12,notice,NN
13,section,NN
13,iii,NN
13,rate,NN
13,and,CC
13,method,NN
13,of,IN
13,compensation,NN
13,flsa,NN
13,non-exempt,JJ
13,employees,NN
13,compensation,NN
13,for,IN
13,overtime,NN
13,worked,VB
13,by,IN
13,employee,NN
13,in,IN
13,classification,NN
13,listed,VB
13,in,IN
13,appendix,NN
13,herein,RB
13,shall,MD
13,be,VB
13,for,IN
13,all,DT
13,hour,NN
13,worked,VB
13,in,IN
