,Sentence #,Word,POS
0,1.0,30,CD
1,1.0,mou01,NN
2,1.0,07/02/2013,CD
3,1.0,06/30/2016,CD
4,1.0,article,NN
5,1.0,6.0,CD
6,1.0,compensation,NN
7,1.0,article,NN
8,1.0,6.1,CD
9,1.0,salaries,NNS
10,1.0,prior,RB
11,1.0,to,TO
12,1.0,april,VB
13,1.0,2014,CD
14,1.0,salary,JJ
15,1.0,range,NN
16,1.0,for,IN
17,1.0,employee,NN
18,1.0,consist,NN
19,1.0,of,IN
20,1.0,five,CD
21,1.0,step,NNS
22,1.0,each,DT
23,1.0,separated,VBN
24,1.0,by,IN
25,1.0,approximately,RB
26,1.0,five,CD
27,1.0,and,CC
28,1.0,one-half,JJ
29,1.0,percent,NN
30,1.0,5.5,CD
31,1.0,%,NN
32,1.0,illustrated,VBN
33,1.0,in,IN
34,1.0,range,NN
35,1.0,table,NN
36,1.0,of,IN
37,1.0,this,DT
38,1.0,mou,NN
39,2.0,effective,JJ
40,2.0,april,NN
41,2.0,2014,CD
42,2.0,salary,JJ
43,2.0,range,NN
44,2.0,shall,MD
45,2.0,consist,VB
46,2.0,of,IN
47,2.0,fifteen,JJ
48,2.0,step,NN
49,2.0,each,DT
50,2.0,separated,VBN
51,2.0,by,IN
52,2.0,approximately,RB
53,2.0,two,CD
54,2.0,and,CC
55,2.0,three-quarter,JJ
56,2.0,percent,NN
57,2.0,2.75,CD
58,2.0,%,NN
59,2.0,illustrated,VBN
60,2.0,in,IN
61,2.0,range,NN
62,2.0,table,NN
63,2.0,of,IN
64,2.0,this,DT
65,2.0,mou,NN
66,3.0,the,DT
67,3.0,following,JJ
68,3.0,salary,JJ
69,3.0,step,NN
70,3.0,movement,NN
71,3.0,will,MD
72,3.0,apply,VB
73,3.0,during,IN
74,3.0,the,DT
75,3.0,term,NN
76,3.0,of,IN
77,3.0,this,DT
78,3.0,mou,NN
79,4.0,employees,NNS
80,4.0,who,WP
81,4.0,are,VBP
82,4.0,not,RB
83,4.0,on,IN
84,4.0,the,DT
85,4.0,top,JJ
86,4.0,step,NN
87,4.0,of,IN
88,4.0,salary,JJ
89,4.0,range,NN
90,4.0,of,IN
91,4.0,april,NN
92,4.0,2014,CD
93,4.0,one,CD
94,4.0,step,NN
95,4.0,advancement,NN
96,4.0,on,IN
97,4.0,april,NN
98,4.0,20,CD
99,4.0,2014,CD
100,4.0,beginning,NN
101,4.0,of,IN
102,4.0,pay,NN
103,4.0,period,NN
104,4.0,22,CD
105,4.0,in,IN
106,4.0,fy2013-14,JJ
107,4.0,one,CD
108,4.0,step,NN
109,4.0,advancement,NN
110,4.0,on,IN
111,4.0,july,NN
112,4.0,13,CD
113,4.0,2014,CD
114,4.0,beginning,NN
115,4.0,of,IN
116,4.0,pay,NN
117,4.0,period,NN
118,4.0,in,IN
119,4.0,fy2014-15,JJ
120,4.0,one,CD
121,4.0,step,NN
122,4.0,advancement,NN
123,4.0,on,IN
124,4.0,july,NN
125,4.0,12,CD
126,4.0,2015,CD
127,4.0,beginning,NN
128,4.0,of,IN
129,4.0,pay,NN
130,4.0,period,NN
131,4.0,in,IN
132,4.0,fy2015-16,JJ
133,4.0,employees,NNS
134,4.0,who,WP
135,4.0,are,VBP
136,4.0,on,IN
137,4.0,the,DT
138,4.0,top,JJ
139,4.0,step,NN
140,4.0,of,IN
141,4.0,salary,JJ
142,4.0,range,NN
143,4.0,of,IN
144,4.0,june,NN
145,4.0,28,CD
146,4.0,2014,CD
147,4.0,one,CD
148,4.0,step,NN
149,4.0,advancement,NN
150,4.0,on,IN
151,4.0,july,NN
152,4.0,13,CD
153,4.0,2014,CD
154,4.0,beginning,NN
155,4.0,of,IN
156,4.0,pay,NN
157,4.0,period,NN
158,4.0,in,IN
159,4.0,fy2014-15,JJ
160,4.0,one,CD
161,4.0,step,NN
162,4.0,advancement,NN
163,4.0,on,IN
164,4.0,january,JJ
165,4.0,11,CD
166,4.0,2015,CD
167,4.0,beginning,NN
168,4.0,of,IN
169,4.0,pay,NN
170,4.0,period,NN
171,4.0,15,CD
172,4.0,in,IN
173,4.0,fy2014-15,JJ
174,4.0,one,CD
175,4.0,step,NN
176,4.0,advancement,NN
177,4.0,on,IN
178,4.0,july,NN
179,4.0,12,CD
180,4.0,2015,CD
181,4.0,beginning,NN
182,4.0,of,IN
183,4.0,pay,NN
184,4.0,period,NN
185,4.0,in,IN
186,4.0,fy2015-16,JJ
187,4.0,classifications,NNS
188,4.0,for,IN
189,4.0,which,WDT
190,4.0,compensation,NN
191,4.0,is,VBZ
192,4.0,set,VBN
193,4.0,at,IN
194,4.0,fixed,JJ
195,4.0,amount,NN
196,4.0,flat,JJ
197,4.0,rated,VBN
198,4.0,shall,MD
199,4.0,receive,VB
200,4.0,equivalent,JJ
201,4.0,salary,JJ
202,4.0,adjustment,NN
203,4.0,at,IN
204,4.0,the,DT
205,4.0,time,NN
206,4.0,specified,VBN
207,4.0,above,IN
208,4.0,for,IN
209,4.0,employee,NN
210,4.0,on,IN
211,4.0,the,DT
212,4.0,top,JJ
213,4.0,step,NN
214,4.0,of,IN
215,4.0,salary,JJ
216,4.0,range,NN
217,4.0,of,IN
218,4.0,june,NN
219,4.0,29,CD
220,4.0,2014,CD
221,4.0,unless,IN
222,4.0,negotiated,VBN
223,4.0,otherwise,RB
224,4.0,or,CC
225,4.0,in,IN
226,4.0,accordance,NN
227,4.0,with,IN
228,4.0,provision,NN
229,4.0,of,IN
230,4.0,the,DT
231,4.0,laac,NN
232,5.0,anniversary,JJ
233,5.0,date,NN
234,5.0,for,IN
235,5.0,all,DT
236,5.0,bargaining,NN
237,5.0,unit,NN
238,5.0,member,NN
239,5.0,shall,MD
240,5.0,be,VB
241,5.0,frozen,VBN
242,5.0,on,IN
243,5.0,april,NN
244,5.0,2014,CD
245,5.0,and,CC
246,5.0,shall,MD
247,5.0,be,VB
248,5.0,unfrozen,JJ
249,5.0,on,IN
250,5.0,july,NN
251,5.0,13,CD
252,5.0,2015,CD
253,6.0,article,NN
254,6.0,6.2,CD
255,6.0,overtime,JJ
256,6.0,section,NN
257,6.0,distribution,NN
258,6.0,of,IN
259,6.0,overtime,JJ
260,6.0,management,NN
261,6.0,will,MD
262,6.0,attempt,VB
263,6.0,to,TO
264,6.0,assign,VB
265,6.0,overtime,JJ
266,6.0,work,NN
267,6.0,equitably,RB
268,6.0,possible,JJ
269,6.0,among,IN
270,6.0,all,DT
271,6.0,qualified,VBN
272,6.0,employee,NN
273,6.0,in,IN
274,6.0,the,DT
275,6.0,same,JJ
276,6.0,classification,NN
277,6.0,in,IN
278,6.0,the,DT
279,6.0,same,JJ
280,6.0,organizational,JJ
281,6.0,unit,NN
282,6.0,and,CC
283,6.0,work,NN
284,6.0,location,NN
285,7.0,however,RB
286,7.0,management,NN
287,7.0,may,MD
288,7.0,consider,VB
289,7.0,special,JJ
290,7.0,skill,NN
291,7.0,required,VBN
292,7.0,to,TO
293,7.0,perform,VB
294,7.0,particular,JJ
295,7.0,work,NN
296,8.0,no,DT
297,8.0,employee,NN
298,8.0,shall,MD
299,8.0,work,VB
300,8.0,overtime,RB
301,8.0,without,IN
302,8.0,prior,JJ
303,8.0,approval,NN
304,8.0,from,IN
305,8.0,his,PRP$
306,8.0,or,CC
307,8.0,her,PRP$
308,8.0,supervisor,NN
309,9.0,flsa,JJ
310,9.0,non-exempt,JJ
311,9.0,employee,NN
312,9.0,may,MD
313,9.0,not,RB
314,9.0,work,VB
315,9.0,outside,IN
316,9.0,of,IN
317,9.0,scheduled,JJ
318,9.0,working,VBG
319,9.0,31,CD
320,9.0,mou01,JJ
321,9.0,07/02/2013,CD
322,9.0,06/30/2016,CD
323,9.0,hour,NN
324,9.0,or,CC
325,9.0,during,IN
326,9.0,unpaid,JJ
327,9.0,meal,JJ
328,9.0,period,NN
329,9.0,without,IN
330,9.0,the,DT
331,9.0,prior,JJ
332,9.0,approval,NN
333,9.0,of,IN
334,9.0,supervisor,NN
335,9.0,consistent,JJ
336,9.0,with,IN
337,9.0,department,NN
338,9.0,policy,NN
339,10.0,failure,NN
340,10.0,to,TO
341,10.0,secure,VB
342,10.0,prior,JJ
343,10.0,approval,NN
344,10.0,may,MD
345,10.0,result,VB
346,10.0,in,IN
347,10.0,discipline,NN
348,11.0,working,VBG
349,11.0,and,CC
350,11.0,not,RB
351,11.0,recording,VBG
352,11.0,the,DT
353,11.0,time,NN
354,11.0,is,VBZ
355,11.0,similarly,RB
356,11.0,prohibited,VBN
357,12.0,section,NN
358,12.0,ii,VBZ
359,12.0,non-emergency,NN
360,12.0,overtime,NN
361,12.0,whenever,WRB
362,12.0,management,NN
363,12.0,deems,VBZ
364,12.0,it,PRP
365,12.0,necessary,JJ
366,12.0,to,TO
367,12.0,perform,VB
368,12.0,non-emergency,JJ
369,12.0,work,NN
370,12.0,on,IN
371,12.0,an,DT
372,12.0,overtime,JJ
373,12.0,basis,NN
374,12.0,employee,NN
375,12.0,required,VBN
376,12.0,to,TO
377,12.0,work,VB
378,12.0,will,MD
379,12.0,be,VB
380,12.0,given,VBN
381,12.0,at,IN
382,12.0,least,JJS
383,12.0,48,CD
384,12.0,hour,NN
385,12.0,notice,NN
386,13.0,section,NN
387,13.0,iii,NN
388,13.0,rate,NN
389,13.0,and,CC
390,13.0,method,NN
391,13.0,of,IN
392,13.0,compensation,NN
393,13.0,flsa,JJ
394,13.0,non-exempt,JJ
395,13.0,employees,NNS
396,13.0,compensation,NN
397,13.0,for,IN
398,13.0,overtime,NN
399,13.0,worked,VBN
400,13.0,by,IN
401,13.0,employee,NN
402,13.0,in,IN
403,13.0,classification,NN
404,13.0,listed,VBN
405,13.0,in,IN
406,13.0,appendix,NN
407,13.0,herein,NN
408,13.0,shall,MD
409,13.0,be,VB
410,13.0,for,IN
411,13.0,all,DT
412,13.0,hour,NN
413,13.0,worked,VBN
414,13.0,in,IN
415,13.0,excess,NN
416,13.0,of,IN
417,13.0,40,CD
418,13.0,hour,NN
419,13.0,in,IN
420,13.0,workweek,NN
421,14.0,management,NN
422,14.0,shall,MD
423,14.0,have,VB
424,14.0,the,DT
425,14.0,discretion,NN
426,14.0,to,TO
427,14.0,determine,VB
428,14.0,whether,IN
429,14.0,overtime,JJ
430,14.0,compensation,NN
431,14.0,shall,MD
432,14.0,be,VB
433,14.0,in,IN
434,14.0,cash,NN
435,14.0,or,CC
436,14.0,time-off,NN
437,15.0,overtime,JJ
438,15.0,compensation,NN
439,15.0,shall,MD
440,15.0,be,VB
441,15.0,in,IN
442,15.0,time,NN
443,15.0,off,RP
444,15.0,at,IN
445,15.0,the,DT
446,15.0,rate,NN
447,15.0,of,IN
448,15.0,one,CD
449,15.0,and,CC
450,15.0,one-half,JJ
451,15.0,1½,CD
452,15.0,hour,NN
453,15.0,for,IN
454,15.0,each,DT
455,15.0,hour,NN
456,15.0,of,IN
457,15.0,overtime,NN
458,15.0,worked,VBN
459,15.0,or,CC
460,15.0,at,IN
461,15.0,the,DT
462,15.0,rate,NN
463,15.0,of,IN
464,15.0,one,CD
465,15.0,and,CC
466,15.0,one-half,JJ
467,15.0,1½,CD
468,15.0,time,NN
469,15.0,the,DT
470,15.0,employee,NN
471,15.0,'s,POS
